sample,original vs,unique mapped read 1,unique mapped read 2,intersected,reads,rp,r_p,r_pe,rp_e,rp_c,rc_p,r_pc,rpc_e,rce_p,rc_pe
ERR009309_1_2,o,19214897,19214897,19214897,19214897,19214897,0,0,0,0,0,0,0,0,0
ERR009309_1_2,s1,19214897,19214897,19214897,19214897,19214897,0,0,0,0,0,0,0,0,0
ERR009309_1_2,s2,19214897,19214897,19214897,19214897,19214897,0,0,0,0,0,0,0,0,0
ERR009309_1_2,s3,19214897,19214897,19214897,19214897,19214897,0,0,0,0,0,0,0,0,0
ERR009309_1_2,rv,19214897,19201446,19163073,19187360,19163709,23651,13335,53,636,535,23116,0,10,525
ERR181410_1_2,o,39991487,39991487,39991487,39991487,39991487,0,0,0,0,0,0,0,0,0
ERR181410_1_2,s1,39991487,39991487,39991487,39991487,39991487,0,0,0,0,0,0,0,0,0
ERR181410_1_2,s2,39991487,39991487,39991487,39991487,39991487,0,0,0,0,0,0,0,0,0
ERR181410_1_2,s3,39991487,39991487,39991487,39991487,39991487,0,0,0,0,0,0,0,0,0
ERR181410_1_2,rv,39991487,39987441,39957684,39972881,39958188,14693,7044,42,504,233,14460,0,7,226
ERR183377_1_2,o,33007451,33007451,33007451,33007451,33007451,0,0,0,0,0,0,0,0,0
ERR183377_1_2,s1,33007451,33007451,33007451,33007451,33007451,0,0,0,0,0,0,0,0,0
ERR183377_1_2,s2,33007451,33007451,33007451,33007451,33007451,0,0,0,0,0,0,0,0,0
ERR183377_1_2,s3,33007451,33007451,33007451,33007451,33007451,0,0,0,0,0,0,0,0,0
ERR183377_1_2,rv,33007451,33004731,32980686,32993179,32981151,12028,5524,48,465,159,11869,0,2,157
