sample,original vs,unique mapped read 1,unique mapped read 2,intersected,reads,rp,r_p,r_pe,rp_e,rp_c,rc_p,r_pc,rpc_e,rce_p,rc_pe
ERR009309_1_2,o,22318933,22318933,22318933,22318933,22318933,0,0,0,0,0,0,0,0,0
ERR009309_1_2,s1,22318933,22318933,22318933,22318933,22318933,0,0,0,0,0,0,0,0,0
ERR009309_1_2,s2,22318933,22318933,22318933,22318933,22318933,0,0,0,0,0,0,0,0,0
ERR009309_1_2,s3,22318933,22318933,22318933,22318933,22318933,0,0,0,0,0,0,0,0,0
ERR009309_1_2,rv,22318933,22320700,21707653,22109743,21712356,397387,143589,1851,4703,77764,319623,0,68563,9201
ERR181410_1_2,o,41053649,41053649,41053649,41053649,41053649,0,0,0,0,0,0,0,0,0
ERR181410_1_2,s1,41053649,41053649,41053649,41053649,41053649,0,0,0,0,0,0,0,0,0
ERR181410_1_2,s2,41053649,41053649,41053649,41053649,41053649,0,0,0,0,0,0,0,0,0
ERR181410_1_2,s3,41053649,41053649,41053649,41053649,41053649,0,0,0,0,0,0,0,0,0
ERR181410_1_2,rv,41053649,41054376,40561449,40874380,40570053,304327,142932,2651,8604,94604,209723,0,77997,16607
ERR183377_1_2,o,33809745,33809745,33809745,33809745,33809745,0,0,0,0,0,0,0,0,0
ERR183377_1_2,s1,33809745,33809745,33809745,33809745,33809745,0,0,0,0,0,0,0,0,0
ERR183377_1_2,s2,33809745,33809745,33809745,33809745,33809745,0,0,0,0,0,0,0,0,0
ERR183377_1_2,s3,33809745,33809745,33809745,33809745,33809745,0,0,0,0,0,0,0,0,0
ERR183377_1_2,rv,33809745,33810989,33436254,33670437,33442902,227535,109755,1976,6648,70746,156789,0,58008,12738
