sample,original vs,unique mapped read 1,unique mapped read 2,intersected,reads,rp,r_p,r_pe,rp_e,rp_c,rc_p,r_pc,rpc_e,rce_p,rc_pe
ERR009309_1_2,o,16809838,16809838,16809838,16809838,16809838,0,0,0,0,0,0,0,0,0
ERR009309_1_2,s1,16809838,16809838,16809838,16809838,16809838,0,0,0,0,0,0,0,0,0
ERR009309_1_2,s2,16809838,16809838,16809838,16809838,16809838,0,0,0,0,0,0,0,0,0
ERR009309_1_2,s3,16809838,16809838,16809838,16809838,16809838,0,0,0,0,0,0,0,0,0
ERR009309_1_2,rv,16809838,16783911,16537150,16544272,16537150,7122,5818,0,0,3671,3451,0,876,2795
ERR181410_1_2,o,33763224,33763224,33763224,33763224,33763224,0,0,0,0,0,0,0,0,0
ERR181410_1_2,s1,33763224,33763224,33763224,33763224,33763224,0,0,0,0,0,0,0,0,0
ERR181410_1_2,s2,33763224,33763224,33763224,33763224,33763224,0,0,0,0,0,0,0,0,0
ERR181410_1_2,s3,33763224,33763224,33763224,33763224,33763224,0,0,0,0,0,0,0,0,0
ERR181410_1_2,rv,33763224,33732059,33326379,33332992,33326379,6613,5157,0,0,3552,3061,0,937,2615
ERR183377_1_2,o,27747946,27747946,27747946,27747946,27747946,0,0,0,0,0,0,0,0,0
ERR183377_1_2,s1,27747946,27747946,27747946,27747946,27747946,0,0,0,0,0,0,0,0,0
ERR183377_1_2,s2,27747946,27747946,27747946,27747946,27747946,0,0,0,0,0,0,0,0,0
ERR183377_1_2,s3,27747946,27747946,27747946,27747946,27747946,0,0,0,0,0,0,0,0,0
ERR183377_1_2,rv,27747946,27725282,27392858,27397687,27392858,4829,3785,0,0,2654,2175,0,684,1970
