sample,original vs,unique mapped read 1,unique mapped read 2,intersected,reads,rp,r_p,r_pe,rp_e,rp_c,rc_p,r_pc,rpc_e,rce_p,rc_pe
ERR009309_1_2,o,18303378,18303617,18266226,18293048,18274384,18664,17089,6729,8158,581,18083,0,63,518
ERR009309_1_2,s1,18303378,18303618,18267671,18293540,18275716,17824,16236,6621,8045,573,17251,0,70,503
ERR009309_1_2,s2,18303378,18303647,18267909,18293857,18275786,18071,16532,6505,7877,635,17436,0,84,551
ERR009309_1_2,s3,18303378,18303784,18268004,18293747,18275780,17967,16429,6364,7776,613,17354,0,72,541
ERR009309_1_2,rv,18303378,18305893,18208198,18257687,18208736,48951,29013,439,538,6018,42933,0,2700,3318
ERR181410_1_2,o,38615673,38616816,38529668,38602511,38552014,50497,46681,17926,22346,477,50020,0,86,391
ERR181410_1_2,s1,38615673,38615360,38527596,38601518,38550652,50866,47044,18252,23056,683,50183,0,145,538
ERR181410_1_2,s2,38615673,38616052,38528457,38601841,38551388,50453,46425,18250,22931,529,49924,0,111,418
ERR181410_1_2,s3,38615673,38615971,38528605,38601974,38551868,50106,46066,18471,23263,489,49617,0,126,363
ERR181410_1_2,rv,38615673,38616212,38486659,38555433,38487509,67924,44733,628,850,19600,48324,0,8019,11581
ERR183377_1_2,o,31868834,31868502,31794913,31857922,31816491,41431,37979,15495,21578,352,41079,0,41,311
ERR183377_1_2,s1,31868834,31868415,31795115,31857851,31815947,41904,38512,14998,20832,428,41476,0,71,357
ERR183377_1_2,s2,31868834,31868966,31794404,31857967,31815608,42359,39053,15213,21204,425,41934,0,57,368
ERR183377_1_2,s3,31868834,31868709,31797429,31857991,31818106,39885,36674,14980,20677,401,39484,0,71,330
ERR183377_1_2,rv,31868834,31868218,31751474,31810884,31752247,58637,37327,652,772,18446,40191,1,8450,9996
